公开时间,类别,省份,城市,新增确诊病例,新增治愈出院数,新增死亡数,核减,治愈核减,死亡核减,累计确诊人数,累计治愈人数,累计死亡人数
1月21日,省级,湖南,,1,,,,,,,,
1月21日,省级,吉林,,,,,,,,,,
1月21日,地区级,江苏,扬州,,,,,,,,,
1月21日,省级,江苏,,,,,,,,,,
1月21日,地区级,江西,抚州,1,,,,,,,,
1月21日,地区级,江西,萍乡,1,,,,,,,,
1月21日,省级,江西,,2,,,,,,,,
1月21日,地区级,辽宁,沈阳,,,,,,,,,
1月21日,省级,辽宁,,,,,,,,,,
1月21日,省级,内蒙古,,,,,,,,,,
1月21日,地区级,宁夏,银川,1,,,,,,,,
1月21日,省级,宁夏,,1,,,,,,,,
1月21日,省级,青海,,,,,,,,,,
1月21日,地区级,山东,青岛,1,,,,,,,,
1月21日,地区级,山东,威海,1,,,,,,,,
1月21日,省级,山东,,2,,,,,,,,
1月21日,省级,山西,,,,,,,,,,
1月21日,省级,陕西,,,,,,,,,,
1月21日,地区级,上海,地区待确认,7,,,,,,,,
1月21日,省级,上海,,7,,,,,,,,
1月21日,地区级,四川,成都,1,,,,,,,,
1月21日,地区级,四川,广安,1,,,,,,,,
1月21日,省级,四川,,2,,,,,,,,
1月21日,地区级,台湾,台湾,1,,,,,,,,
1月21日,省级,台湾,,1,,,,,,,,
1月21日,地区级,天津,西青区,1,,,,,,,,
1月21日,地区级,天津,河东区,1,,,,,,,,
1月21日,省级,天津,,2,,,,,,,,
1月21日,省级,西藏,,,,,,,,,,
1月21日,地区级,香港,香港,,,,,,,,,
1月21日,省级,香港,,,,,,,,,,
1月21日,省级,新疆,,,,,,,,,,
1月21日,地区级,云南,昆明,1,,,,,,,,
1月21日,省级,云南,,1,,,,,,,,
1月21日,地区级,浙江,宁波,3,,,,,,,,
1月21日,地区级,浙江,温州,2,,,,,,,,
1月21日,省级,浙江,,5,,,,,,,,
1月21日,地区级,重庆,垫江县,1,,,,,,,,
1月21日,地区级,重庆,万州区,2,,,,,,,,
1月21日,地区级,重庆,巫山县,2,,,,,,,,
1月21日,地区级,重庆,长寿区,1,,,,,,,,
1月21日,省级,重庆,,6,,,,,,,,
1月21日,国家级,,,149,,,,,,,,
1月22日,地区级,安徽,亳州,1,,,,,,,,
1月22日,地区级,安徽,滁州,1,,,,,,,,
1月22日,地区级,安徽,阜阳,1,,,,,,,,
1月22日,地区级,安徽,合肥,4,,,,,,,,
1月22日,地区级,安徽,六安,1,,,,,,,,
1月22日,省级,安徽,,8,,,,,,,,
1月22日,地区级,澳门,澳门,1,,,,,,,,
1月22日,省级,澳门,,1,,,,,,,,
1月22日,地区级,北京,朝阳,1,,,,,,,,
1月22日,地区级,北京,石景山,1,,,,,,,,
1月22日,地区级,北京,外地来京,1,,,,,,,,
1月22日,地区级,北京,西城,1,,,,,,,,
1月22日,省级,北京,,4,,,,,,,,
1月22日,地区级,福建,福州,1,,,,,,,,
1月22日,省级,福建,,1,,,,,,,,
1月22日,地区级,甘肃,白银,1,,,,,,,,
1月22日,地区级,甘肃,兰州,1,,,,,,,,
1月22日,省级,甘肃,,2,,,,,,,,
1月22日,地区级,广东,广州,3,,,,,,,,
1月22日,地区级,广东,深圳,1,,,,,,,,
1月22日,地区级,广东,肇庆,1,,,,,,,,
1月22日,地区级,广东,中山,1,,,,,,,,
1月22日,省级,广东,,6,,,,,,,,
